Size, 100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,
Method Tree, 20650.0,110400.0,23200.0,11700.0,11000.0,9550.0,10150.0,8600.0,11500.0,9100.0,11650.0,11550.0,23050.0,15000.0,22500.0,27400.0,11350.0,8550.0,12900.0,18100.0,10250.0,22150.0,14550.0,7300.0,7500.0,7450.0,13900.0,13300.0,6900.0,7650.0,6400.0,7750.0,10300.0,20750.0,16350.0,13750.0,14350.0,11550.0,9750.0,9500.0,8800.0,8300.0,7550.0,7950.0,10500.0,11600.0,9700.0,9850.0,8000.0,9250.0,8950.0,8000.0,7050.0,7600.0,6250.0,6700.0,8950.0,12000.0,16100.0,36200.0,7700.0,8050.0,7900.0,16700.0,11650.0,9150.0,10700.0,8250.0,8100.0,6850.0,6100.0,5950.0,6050.0,5800.0,5400.0,7550.0,6600.0,5900.0,8100.0,8100.0,7550.0,6800.0,10350.0,9400.0,13900.0,15000.0,21550.0,6000.0,5000.0,5000.0,13700.0,11800.0,5350.0,7150.0,7550.0,7550.0,5200.0,8650.0,10050.0,8850.0,7450.0,
Method Hash Table, 700.0,650.0,700.0,650.0,650.0,650.0,600.0,600.0,500.0,600.0,550.0,500.0,1600.0,1250.0,900.0,700.0,11100.0,600.0,450.0,400.0,450.0,300.0,450.0,400.0,500.0,600.0,600.0,700.0,1200.0,550.0,450.0,450.0,350.0,1200.0,550.0,600.0,600.0,400.0,600.0,950.0,450.0,700.0,850.0,450.0,500.0,500.0,450.0,300.0,450.0,350.0,400.0,450.0,350.0,350.0,450.0,350.0,250.0,400.0,700.0,700.0,350.0,250.0,200.0,300.0,600.0,1000.0,600.0,200.0,350.0,700.0,350.0,750.0,600.0,400.0,350.0,750.0,550.0,900.0,500.0,300.0,300.0,300.0,200.0,250.0,300.0,200.0,250.0,150.0,250.0,200.0,200.0,350.0,200.0,300.0,250.0,400.0,250.0,200.0,200.0,400.0,450.0,
